order_id,is_successful,create_date,partner_id,order_amount,order_messages,order_changes,partner_success_rate,partner_total_orders,partner_order_age_days,partner_avg_amount,partner_success_avg_amount,partner_fail_avg_amount,partner_total_messages,partner_success_avg_messages,partner_fail_avg_messages,partner_avg_changes,partner_success_avg_changes,partner_fail_avg_changes
1000001,1,2017-07-29 07:48:26.812523,1024555,5235.66,25,22,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000002,1,2017-07-29 07:54:09.954757,1026247,876.96,10,5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000003,1,2017-07-29 08:04:13.162858,1024797,3012.77,7,4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000004,1,2017-07-29 08:11:38.086709,1024943,621.34,10,6,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000005,1,2017-07-29 08:15:05.548616,1024776,813.12,6,3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000006,1,2017-07-29 08:19:38.625071,1024538,1029.6200000000001,22,19,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000007,1,2017-07-29 08:29:50.487564,1024353,2832.0,10,7,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000008,1,2017-07-29 08:40:21.407789,1024527,340.78000000000003,10,6,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1000009,1,2017-07-29 08:44:45.461359,1026758,1546.8,11,8,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
